"id": "debug_mon",デバッグモンスター
"id": "mon_albino_penguin",アルビノペンギン
"id": "mon_alpha_razorclaw",レーザークロウ
"id": "mon_amigara_horror",あみがらの怪
"id": "mon_ant",巨大アリ
"id": "mon_ant_fungus",真菌アリ
"id": "mon_ant_larva",アリ(幼虫)
"id": "mon_ant_queen",女王アリ
"id": "mon_ant_soldier",兵隊アリ
"id": "mon_bat",蝙蝠
"id": "mon_bear",クマ
"id": "mon_bear_smoky",煙幕クマ
"id": "mon_beaver",ビーバー
"id": "mon_bee",巨大ハチ
"id": "mon_beekeeper",負傷ゾンビ
"id": "mon_biollante",ビオランテ
"id": "mon_black_rat",クマネズミ
"id": "mon_blank",純白の肉人
"id": "mon_blob",ブロブ
"id": "mon_blob_brain",ブレインブロブ
"id": "mon_blob_large",大型ブロブ
"id": "mon_blob_small",小型ブロブ
"id": "mon_blood_sacrifice",血塗れの生贄
"id": "mon_bobcat",ボブキャット
"id": "mon_boomer",ブーマー
"id": "mon_boomer_fungus",真菌ブーマー
"id": "mon_boomer_huge",巨体ブーマー
"id": "mon_breather",ブリーザー
"id": "mon_breather_hub",ブリーザー
"id": "mon_broken_cyborg",壊れたサイボーグ
"id": "mon_cat",ネコ
"id": "mon_centipede_giant",巨大ムカデ
"id": "mon_charred_nightmare",ナイトメア
"id": "mon_chicken",ニワトリ
"id": "mon_chickenbot",チキンウォーカー
"id": "mon_chipmunk",シマリス
"id": "mon_chud",チャド
"id": "mon_copbot",警官ロボット
"id": "mon_cougar",ピューマ
"id": "mon_cow",ウシ
"id": "mon_coyote",コヨーテ
"id": "mon_coyote_wolf",コヨーテ
"id": "mon_crawler",クロウラー
"id": "mon_creeper_hub",這い回る蔦の中枢
"id": "mon_creeper_vine",這い回る蔦
"id": "mon_crow",カラス
"id": "mon_dark_wyrm",ダークウィルム
"id": "mon_darkman",レイス
"id": "mon_deer",シカ
"id": "mon_dementia",デメンティア
"id": "mon_dermatik",ダマティック
"id": "mon_dermatik_larva",ダマティック(幼虫)
"id": "mon_dog",イヌ
"id": "mon_dog_skeleton",痩身犬
"id": "mon_dog_thing",イヌ
"id": "mon_dog_zombie_cop",ゾンビ警察犬
"id": "mon_dog_zombie_rot",ロットーワイラー
"id": "mon_dragonfly_giant",巨大トンボ
"id": "mon_duck",カモ
"id": "mon_exploder",エクスプローダー
"id": "mon_eyebot",監視ロボット
"id": "mon_flaming_eye",フレーミングアイ
"id": "mon_flesh_angel",肉天使
"id": "mon_fly",巨大ハエ
"id": "mon_flying_polyp",盲目のもの
"id": "mon_fox_gray",キツネ
"id": "mon_fox_red",キツネ
"id": "mon_frog_giant",巨大カエル
"id": "mon_fungal_blossom",真菌花
